20:05:48        all     13.11      0.00      2.07      5.52      0.00     79.30
20:05:50        all     11.42      0.00      1.45      5.05      0.00     82.08
20:05:52        all     15.33      0.00      1.76      4.84      0.00     78.08
20:05:54        all     11.48      0.00      1.68      5.74      0.00     81.10
20:05:56        all      8.44      0.00      1.76      7.75      0.00     82.05
20:05:58        all     23.26      0.00      6.70     11.23      0.00     58.81
20:06:00        all     19.84      0.00      6.15      1.07      0.00     72.94
20:06:02        all     18.88      0.00      5.48      0.00      0.00     75.64
20:06:04        all     14.38      0.00      0.50      0.88      0.00     84.24
20:06:06        all     12.84      0.00      0.44      0.13      0.00     86.60
20:06:08        all     17.06      0.00      0.44      0.38      0.00     82.12
20:06:10        all     12.32      0.00      0.82      1.89      0.00     84.98
20:06:12        all     12.76      0.00      5.85      3.27      0.00     78.13
20:06:14        all     17.20      0.00      5.88      2.38      0.00     74.55
20:06:16        all     11.01      0.00      0.81      4.38      0.00     83.79
20:06:18        all     10.57      0.00      1.07      6.86      0.00     81.50
20:06:20        all      8.04      0.00      2.07     11.37      0.00     78.52
20:06:22        all     14.20      0.00      2.20      7.47      0.00     76.13
20:06:24        all     20.64      0.00      2.26      1.69      0.00     75.41
20:06:26        all     25.40      0.00      1.65      0.00      0.00     72.96
20:06:28        all     30.80      0.00      2.45      0.13      0.00     66.62
20:06:30        all     32.85      0.00      1.56      0.50      0.00     65.08
20:06:32        all     29.80      0.00      1.50      0.06      0.00     68.64
20:06:34        all     30.48      0.00      1.63      0.06      0.00     67.83
20:06:36        all     32.51      0.00      2.73      0.25      0.00     64.52
20:06:38        all     30.30      0.00      1.64      0.57      0.00     67.49
20:06:40        all     31.05      0.00      1.59      0.32      0.00     67.05
20:06:42        all     29.59      0.00      1.44      0.00      0.00     68.97
20:06:44        all     29.11      0.00      2.12      0.00      0.00     68.77
20:06:46        all     30.73      0.00      1.57      0.25      0.00     67.44
20:06:48        all     29.29      0.00      1.63      0.00      0.00     69.08
20:06:50        all     28.37      0.00      2.28      0.06      0.00     69.28
20:06:52        all     32.40      0.00      1.63      0.31      0.00     65.67
