20:02:54         0.00    593.50
20:02:56         0.50   1782.50
20:02:58        57.00   2444.50
20:03:00         6.00   1501.00
20:03:02         0.50   1236.00
20:03:04         0.00   1063.00
20:03:06         0.50    881.00
20:03:08         0.00    992.00
20:03:10         3.00   2237.00
20:03:12        40.00  14103.00
20:03:14         6.00   6154.50
20:03:16         2.50   5010.50
20:03:18         0.50   3409.50
20:03:20         0.00   2894.50
20:03:22         0.50   3606.50
20:03:24         0.00   2347.50
20:03:26         0.50   1558.00
20:03:28         0.00   1999.00
20:03:30         0.00   4105.00
20:03:32         3.50   3254.00
20:03:34         2.50 301308.00
20:03:36         5.00 118126.50
20:03:38         0.00   2838.00
20:03:40         5.00 274918.50
20:03:42         1.50 120408.50
20:03:44         0.00 374331.50
20:03:46         0.50   5179.50
20:03:48         0.00   6234.50
20:03:50         0.00   5373.00
20:03:52         4.00   5375.00
20:03:54         0.00   6883.00
20:03:56         0.50   5168.50
20:03:58         0.00   5856.50
20:04:00         0.00  15670.50
20:04:02         0.50  16869.50
20:04:04         4.50  16197.00
20:04:06         1.00  16740.50
20:04:08         0.00  15018.00
20:04:10         0.00  15729.00
20:04:12         1.00  20297.50
20:04:14         0.50  14469.50
20:04:16         0.50  11214.50
20:04:18         0.00  10384.50
20:04:20         0.00  11104.50
20:04:22         0.50  10534.00
20:04:24         0.00  10928.00
20:04:26         0.50  10040.00
20:04:28         0.00  11449.00
20:04:30         0.50  13503.00
20:04:32         0.50  13275.00
20:04:34         0.00  13058.50
20:04:36         1.00  11354.50
20:04:38         0.00   9414.50
20:04:40         0.00 108195.00
20:04:42         0.50  11666.50
20:04:44         0.00  11873.00
20:04:46         0.50   9637.00
20:04:48         0.00  11902.50
20:04:50         0.00  11513.50
20:04:52         0.50  10742.50
20:04:54         0.00  11297.00
20:04:56         0.50  10034.00
20:04:58         0.00   8937.00
20:05:00         0.00  11199.50
20:05:02         3.00  12066.00
20:05:04         0.00  11037.00
20:05:06         1.00   8733.00
20:05:08         0.00   9560.00
20:05:10         0.00   8350.00
20:05:12         0.50   9387.00
20:05:14         0.00   9614.50
20:05:16         0.50  10173.00
20:05:18         0.00   7488.50
20:05:20         0.00   8917.00
20:05:22         0.50   8714.50
20:05:24         0.00   9834.00
20:05:26         0.50  11871.00
20:05:28         0.00   8608.50
20:05:30         0.00   4584.50
20:05:32         4.00   5672.00
20:05:34         0.00   6066.50
20:05:36         1.00  12978.50
20:05:38         0.00   8106.50
20:05:40         0.00   6947.50
20:05:42         0.50   8041.50
20:05:44         0.00   6596.50
20:05:46         0.50   7896.00
20:05:48         0.00  15559.50
20:05:50         0.00   7722.50
20:05:52         0.50   6025.50
20:05:54         0.00   9917.00
20:05:56         0.50  10898.50
20:05:58         0.00  17362.50
20:06:00         0.50   7254.00
20:06:02         0.50   5121.00
20:06:04         0.00   4653.00
20:06:06         1.00   4723.00
20:06:08         0.00   4964.50
20:06:10         0.00   5302.50
20:06:12         0.50   7012.50
20:06:14         0.00   6534.00
20:06:16         0.50   7226.50
20:06:18         0.00  11085.00
20:06:20         0.00  10388.00
20:06:22         0.50  15064.00
20:06:24         0.00  10578.50
20:06:26         0.50  20473.00
20:06:28         0.00  25850.50
20:06:30         0.00  32652.50
20:06:32         0.50  27697.50
20:06:34         0.00  33675.50
20:06:36         1.00  41619.50
20:06:38         0.50  36902.50
20:06:40         0.00  39922.00
20:06:42         0.50  34267.00
20:06:44         0.00  28423.00
20:06:46         0.50  31713.50
20:06:48         0.00  39904.50
20:06:50         0.00  30338.50
20:06:52         1.50  33406.50
