20:06:22       504.00    504.00      0.00 120420.00      0.00
20:06:24        54.50     51.00      3.50   9620.00    132.00
20:06:26         6.00      6.00      0.00   1096.00      0.00
20:06:28         7.50      5.50      2.00    360.00     20.00
20:06:30         4.50      1.00      3.50      8.00    116.00
20:06:32         5.00      5.00      0.00    356.00      0.00
20:06:34        10.00      4.00      6.00    248.00     52.00
20:06:36         6.00      2.50      3.50    184.00    112.00
20:06:38         0.00      0.00      0.00      0.00      0.00
20:06:40         4.00      0.00      4.00      0.00    148.00
20:06:42         0.50      0.00      0.50      0.00     12.00
20:06:44         1.50      1.00      0.50    256.00      8.00
20:06:46         3.50      0.00      3.50      0.00    132.00
20:06:48         0.00      0.00      0.00      0.00      0.00
20:06:50         0.50      0.00      0.50      0.00      4.00
20:06:52        10.00      5.00      5.00    392.00    144.00
